ID2,ID1,B,C,D,E,F,treatment,stealfriend,phonefriend,interruptfriend,insultfriend,onlinefriend,stealapp,stealnoth,stealremark,stealtalk,stealavoid,stealphyspunapp,phoneapp,phoneremark,phoneavoid,phonenoth,phonetalk,interruptapp,interruptnoth,interrupttalk,interruptremark,interruptavoid,insultapp,insultremark,insultavoid,insultnoth,insulttalk,onlineapp,onlineavoid,onlinetalk,onlinenothing,onlineremark,Answer,Course,Section,Group,Sex,in_degree_1p,in_degree_2p,in_degree_1n,in_degree_2n,out_degree_1p,out_degree_2p,out_degree_1n,out_degree_2n,+2+2,+2+1,+2+0,+2-1,+2-2,+1+2,+1+1,+1+0,+1-1,+1-2,+0+2,+0+1,+0+0,+0-1,+0-2,-1+2,-1+1,-1+0,-1-1,-1-2,-2+2,-2+1,-2+0,-2-1,-2-2,+2-3,+1-3,+0-3,-1-3,-2-3,-3+2,-3+1,-3+0,-3-1,-3-2,-3-3,outlier_type,outlier,BC+I,BC+II,BC-,CC+I(in),CC+II(in),CC-(in),CC+I(out),CC+II(out),CC-(out),EC+I(in),EC+II(in),EC-(in),EC+I(out),EC+II(out),EC-(out),PC+I(in),PC+II(in),PC-(in),PC+I(out),PC+II(out),PC-(out),C+I(in),C+II(in),C-(in),C+I(out),C+II(out),C-(out),ES+I,ES+II,ES-,E+I,E+II,E-,TB+I,r+I,tb+I,TB-I,r-I,tb-I,r0I,TB+II,r+II,tb+II,TB-II,r-II,tb-II,r0II
18242,16180,2743,1º ESO,A,H,2024,2,1,0,1,0,0,2,3,3,1,3,3,0,3,5,2,1,0,3,1,4,4,0,4,5,0,3,0,3,1,3,3,1,1,1,101,1,14,7,0,0,31,10,0,1,4,4,2,0,0,3,8,16,0,0,0,2,484,0,0,0,0,0,0,0,0,0,1,0,0,0,4,34,0,0,0,0,0,0,0,0,0000,0,0.003876276063577921,0.00702522300614755,0,0.1732987740338537,0.1491762828082119,0,0.2669890514056088,0.2443510498633485,0.001779359430604982,0.003027895121858986,0.01498571059624801,4.363495371016415e-18,0.01583215552777529,0.0390226588757112,5.152993937260165e-18,0.001953952700678306,0.001580363798089591,9.657542999097044e-4,0.003383761710738954,0.00446425261666199,6.375327217516141e-4,0.0690990576173126,0.1602787550516991,1,0.0690990576173126,0.1602787550516991,NA,30.38349514563107,9.617647058823529,1,0.7234165510864541,0.7398190045248868,1,1077,487,2.211498973305955,-6564,2152,-3.050185873605948,313767,22,22,1,-485,272,-1.783088235294118,316112
18243,16182,2743,1º ESO,A,H,2024,2,1,0,1,0,0,2,2,3,3,3,2,1,3,3,5,2,2,3,3,3,2,0,3,3,3,2,2,2,3,3,3,1,1,1,101,1,15,11,0,0,26,14,0,0,6,3,5,0,0,3,11,11,0,0,2,1,482,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0000,0,0.01128024029271543,0.0271254491903178,0,0.1863943992757066,0.1634654854242443,0,0.2605075244807294,0.2421041436577085,0,0.003465147726595975,0.02607323665713111,-1.057469530030566e-18,0.01712563733790317,0.02357009573066342,-4.218848202448286e-19,0.002294349172147417,0.003072663937438092,9.657542999097044e-4,0.00335763416414732,0.003534570425046001,5.762897829377713e-4,0.06867378074340166,0.1109676140919346,NA,0.06867378074340166,0.1109676140919346,NA,31.21904761904761,15.86,NA,0.7433106575963718,0.8347368421052633,0,1356,503,2.695825049701789,-6609,1927,-3.429683445770628,313976,32,32,1,-685,362,-1.892265193370166,316012
18244,15896,2744,1º ESO,A,H,2024,1,0,1,0,1,1,1,2,5,3,3,5,4,4,2,3,4,2,3,0,3,2,0,5,5,2,3,2,1,1,3,4,1,1,1,101,1,25,11,1,0,9,26,2,2,7,7,10,0,0,1,3,5,0,0,2,13,472,0,0,0,2,0,0,0,1,0,0,1,0,2,0,36,0,0,0,0,0,0,0,0,0000,0,0.01100419578107189,0.02043709795729492,0.001180462479394864,0.1819935477433731,0.1514638373308285,0.03251187325920422,0.2797028157582568,0.2630252309967613,0.07156365523772187,0.004128641132631198,0.03590241825157046,0.001650350269513516,0.01091431778357193,0.06397637461196287,0.0050274266018355,0.002643385648739701,0.002353302336933945,0.001246392068723729,0.00244016176502046,0.005547686637484901,0.003104992026223309,0.06036747794340801,0.07475724533679083,0.28,0.06036747794340801,0.07475724533679083,0.28,37.47979797979797,25.72972972972973,4,0.7495959595959595,0.8576576576576578,1,2123,539,3.938775510204082,-7776,1513,-5.139458030403173,314354,112,112,1,-1931,1074,-1.797951582867784,315220
18245,15895,2744,1º ESO,A,M,2024,1,0,1,0,1,1,0,2,3,3,4,0,2,2,1,3,0,2,2,1,2,1,0,4,3,2,2,0,3,3,2,4,1,1,1,101,0,20,10,1,0,7,7,0,0,4,3,0,0,0,2,5,0,0,0,4,12,493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0000,0,0.004478176731271982,0.006783437474169087,0,0.1853671756324036,0.1524556491749032,0.03725579953042631,0.2476729327286828,0.2322790085820538,0,0.004144551364173523,0.02449608209744995,0.01594963557094838,0.005050673231316392,0.01850216375150847,3.887808072784007e-19,0.002654150601162746,0.001856818858215764,0.001020394621966856,0.001276009928320934,0.002164231403637952,5.762897829377713e-4,0.0772538014355144,0.1397701024673131,NA,0.0772538014355144,0.1397701024673131,1,21.16785714285714,9.65625,NA,0.7299261083743842,0.8046875,NA,284,80,3.55,-2484,641,-3.875195007800312,315685,9,9,1,-314,169,-1.857988165680473,316228
18246,16181,2743,1º ESO,A,H,2024,2,1,0,1,0,0,2,2,2,2,5,1,2,2,2,3,2,1,3,2,2,2,0,2,3,2,2,1,3,1,3,2,1,1,1,101,1,19,12,0,1,16,14,0,0,7,3,2,0,1,3,7,4,0,0,2,9,486,0,0,0,0,0,0,0,0,0,0,0,0,1,2,35,0,0,0,0,0,0,0,0,0000,0,0.006938428465805613,0.01485459763035486,0,0.1953499907931772,0.1628936421468981,0.001779359430604982,0.255380831779278,0.2411064617470312,0,0.003957943325248474,0.02890319329846716,-9.143941644794462e-18,0.01053964640394804,0.02572370594708307,-7.986390078077447e-19,0.002198677018296249,0.002810497789386224,0.00137629407094229,0.002455988076852827,0.003596948327676212,5.762897829377713e-4,0.07426216248101633,0.1326868322822788,NA,0.07426216248101633,0.1326868322822788,1,26.78932584269663,14.52,NA,0.7049822590183324,0.8066666666666669,NA,1170,389,3.007712082262211,-4170,1050,-3.971428571428572,314967,38,38,1,-615,328,-1.875,316040
18247,15902,2744,1º ESO,A,H,2024,1,0,1,0,1,1,1,2,2,3,2,1,2,3,2,3,2,0,4,3,2,2,1,1,4,5,4,2,2,4,4,1,1,1,1,101,1,18,9,8,4,18,7,1,1,3,2,1,0,0,0,10,6,2,0,6,6,477,6,4,0,0,1,0,0,0,0,0,0,0,1,0,36,0,1,0,0,0,0,0,0,0000,0,0.01017493706847554,0.01581562796472562,0.004762357349852956,0.2075114316109241,0.1756197079396245,0.04216504227915797,0.2721985938720597,0.2554956392312062,0.0509362515745022,0.003855239822271847,0.03565113175763372,0.06371947724182095,0.01257377215525617,0.02475517716043673,1.480915428935719e-5,0.001815386724045916,0.001102097192341238,0.007841637428030825,0.00245930397085318,0.001684291631021173,7.665853383213501e-4,0.07424952865127415,0.1409804780664669,0.09677719996028457,0.07424952865127415,0.1409804780664669,0.09677719996028457,22.81481481481482,8.692307692307692,13.07142857142857,0.6913580246913581,0.8692307692307691,0.9336734693877552,526,258,2.038759689922481,-4312,1298,-3.322033898305085,314850,8,8,1,-441,257,-1.715953307392996,316141
18248,16179,2743,1º ESO,A,M,2024,2,1,0,1,0,0,0,1,3,2,5,2,0,3,5,0,2,0,2,2,3,5,0,3,5,0,2,0,5,2,0,3,1,1,1,101,0,17,10,0,1,13,10,3,0,8,1,0,0,0,1,10,1,0,0,1,6,492,0,1,0,0,3,0,0,0,0,0,0,0,1,1,36,0,0,0,0,0,0,0,0,0000,0,0.004205056797621428,0.005393245184549245,8.716184870014075e-5,0.1830741625741106,0.1476223631956264,0.02738017912523214,0.239899878520087,0.2193154987319933,0.08934193859702035,0.00372952723197439,0.05494173365545028,0.001322938836019436,0.00836647238658716,0.0296990700815669,0.0249327597312198,0.002222768922272167,0.002053529034598196,0.0010180191889226,0.001889145070415056,0.002858609653183141,0.001971263846869872,0.08509225478173403,0.1793939707211625,0.25,0.08509225478173403,0.1793939707211625,0.25,19,7.375,4,0.6333333333333333,0.6145833333333334,1,730,227,3.215859030837005,-4139,1266,-3.269352290679305,314913,45,45,1,-603,390,-1.546153846153846,315971
18249,15900,2744,1º ESO,A,M,2024,1,0,1,0,1,1,0,1,3,2,1,4,5,1,1,4,0,4,2,3,5,3,0,5,5,0,5,2,2,3,3,0,0,1,1,101,0,22,8,3,5,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,487,3,5,37,0000,0,0,0,0,0.1755396493728956,0.1400064510337629,0.04563893011916045,0,0,0,0.004213911807440263,0.0310287887657861,0.03684544308598098,-3.644388200072994e-18,-7.547035964933454e-19,3.007420231081824e-18,0.002282091052545627,0.001383349917960149,0.005612464140053757,2.672367717797969e-4,2.787199536688574e-4,5.762897829377713e-4,NA,NA,NA,0.07136687862658128,0.1741119005439785,0.1835792331979088,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,316406,0,0,NA,0,0,NA,316406
18250,15905,2744,1º ESO,A,H,2024,1,0,1,0,1,1,2,2,4,3,5,2,0,4,5,2,1,0,2,2,4,5,0,5,5,2,3,1,5,2,2,4,1,1,1,101,1,13,6,1,2,12,6,4,0,4,1,1,0,0,1,7,3,0,0,1,5,495,0,2,0,0,3,1,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0000,0,0.001170650423024346,0.002483678700258948,0.007646012141511413,0.1863943992757066,0.1579981473271658,0.0352445058891969,0.237956126839114,0.2274628563522747,0.08035326794549086,0.002852266418127836,0.0195019342945132,0.005034521026663027,0.007287290243921121,0.01119977440763725,0.01136210498847532,0.001703139441960453,0.001427149344633249,0.00262286721575839,0.001638473820754927,0.001707927404531199,0.00271634969236854,0.1056424585802035,0.2119495390009757,0.2570008445555093,0.1056424585802035,0.2119495390009757,0.2570008445555093,12.9051724137931,5.750000000000001,5.285714285714286,0.5865987460815046,0.7187500000000001,0.8809523809523809,467,181,2.580110497237569,-2646,924,-2.863636363636364,315301,18,18,1,-376,253,-1.486166007905138,316135
18251,15897,2744,1º ESO,A,H,2024,1,0,1,0,1,1,1,1,4,3,2,2,0,3,2,4,2,2,3,2,3,2,0,3,3,3,2,2,1,3,3,3,1,1,1,101,1,21,12,0,0,29,3,2,0,2,1,0,0,0,5,12,11,0,0,5,8,478,0,0,0,0,2,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0000,0,0.008619837051145758,0.004441025569367246,0,0.2010830883490639,0.1556591107621504,0,0.2557319511630259,0.2197731688044725,0.07245854412005745,0.007701369404872777,0.02269871123196928,-1.727440421855166e-18,0.01539233096681374,0.008631943209995732,0.004077343643696186,0.002486997777804261,0.0021526345449756,9.657542999097044e-4,0.003202817451805022,0.001753277601213731,0.001553545588671311,0.06662235450826473,0.1627292830350289,0.5,0.06662235450826473,0.1627292830350289,NA,31.57407407407408,8.964285714285715,2,0.7517636684303352,0.7470238095238096,1,538,298,1.805369127516778,-4420,1765,-2.504249291784702,314343,2,2,1,-203,122,-1.663934426229508,316282
18252,16184,2743,1º ESO,A,H,2024,2,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,101,1,15,9,1,1,13,3,0,0,3,0,0,0,0,3,7,2,0,0,3,8,496,1,1,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0000,0,5.475012175064118e-4,8.004332980384515e-4,0,0.18208311149718381,0.1517458928938283,0.03320711917262497,0.2240092803844731,0.2082153074161787,0,0.002857691319972459,0.02980550606289437,0.001650350269513505,0.007761648336927465,0.007037888202688309,1.98758584633215e-18,0.001627258115116546,0.002199333259923401,0.001656931839756315,0.001765909856005848,0.001171905383538677,5.762897829377713e-4,0.1062150780859899,0.2201057045732343,NA,0.1062150780859899,0.2201057045732343,0.5,13.21666666666667,5.75,NA,0.5746376811594203,0.6388888888888888,NA,338,162,2.08641975308642,-1736,583,-2.97770154373928,315661,5,5,1,-118,61,-1.934426229508197,316340
18253,16183,2743,1º ESO,A,M,2024,2,1,0,1,0,0,0,1,3,2,5,4,1,2,4,2,0,0,4,2,3,1,0,5,2,2,3,2,1,3,2,2,1,1,1,101,0,9,8,2,0,13,12,4,0,8,3,0,0,0,0,4,8,0,0,0,1,496,0,0,0,1,1,2,0,0,0,0,0,0,1,1,36,0,0,0,0,0,0,0,0,0000,0,7.807446003648106e-4,6.08629538326869e-4,0.007912346492332032,0.1712137355679211,0.1373578499519356,0.03413746692216443,0.2460348842318,0.2265819760996196,0.09043681529551323,0.002342285437521035,0.04806478919442869,0.002899499783437196,0.007895080825131497,0.04262335225094467,0.02137361156290906,0.001531394222183536,0.001742543740310424,0.001803918088666967,0.001764875412399572,0.002786950828478249,0.002875476070580447,0.07999956795265685,0.2097170360453901,0.3427047902494331,0.07999956795265685,0.2097170360453901,0.3427047902494331,18.484375,6.25,3.25,0.6846064814814815,0.5208333333333334,0.8125,975,241,4.045643153526971,-4597,1408,-3.264914772727273,314757,82,82,1,-653,416,-1.569711538461539,315908
18254,15904,2744,1º ESO,A,H,2024,1,0,1,0,1,1,1,1,3,1,1,4,0,4,1,0,0,1,0,2,5,3,0,5,2,0,1,1,1,0,2,5,1,1,1,101,1,13,6,1,0,20,16,1,0,5,6,5,0,0,1,6,11,0,0,0,1,488,0,0,0,0,0,1,0,0,0,0,0,0,0,2,36,0,0,0,0,0,0,0,0,0000,0,0.003368656192534725,0.003973930014741819,0,0.1706609236910875,0.1337505859400669,0.02945489402576134,0.261975172505973,0.2389185628201071,0.07312370321159214,0.002581881200957105,0.006304648563209632,4.363417758911537e-4,0.01144352271378653,0.02726026582289602,0.003510078129626574,0.001716574301193293,0.002471686365691787,0.001121630900028028,0.002553147667347306,0.005219042600640279,0.003468714848440232,0.06684996301128898,0.1215217494682948,1,0.06684996301128898,0.1215217494682948,1,27.65229885057471,13.78571428571429,1,0.7473594283939111,0.8616071428571429,1,1030,349,2.951289398280802,-7451,1941,-3.838742916022669,314116,36,36,1,-918,520,-1.765384615384615,315850
18255,15899,2744,1º ESO,A,M,2024,1,0,1,0,1,1,1,2,2,3,2,1,1,2,1,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,1,1,1,101,0,11,13,0,1,9,8,0,0,6,1,1,0,0,4,4,1,0,0,3,6,497,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0000,0,0.01857794883995175,0.02220769820875312,0,0.1987072409034788,0.1517458928938283,0,0.2759679116902682,0.2553717325196489,0,0.002714056769439053,0.02775235939385588,4.596235653936614e-18,0.01309625989691375,0.03151722327887277,5.003514099200458e-19,0.002014100690942848,0.002533935138497955,9.657542999097044e-4,0.001828824447682069,0.004440993108369163,5.762897829377713e-4,0.09634516623861611,0.1324270937420939,NA,0.09634516623861611,0.1324270937420939,NA,16.47083333333333,11.525,NA,0.6588333333333333,0.8232142857142858,0,358,138,2.594202898550725,-3230,800,-4.0375,315468,7,7,1,-419,230,-1.821739130434783,316169
